State,District,Kind_of_Data,Type_of_initative,Dropdown_list,Tabs (Govt./Others),Card Title,Card Description,Helpline_numbers,Link,Eligibilty (if any),Documents Required (if any),Duration,Any other relevant details,Source links for PDFs
Uttar Pradesh,Rampur,District,Food View,Food Delivery,Govt.,List of Vegetables ;Fruits and Grocery and Milk Suppliers in Saidnagar,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020032954.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Food View,Food Delivery,Govt.,List of Vegetables ;Fruits and Grocery and Milk Suppliers in Swar,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020032992.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Food View,Food Delivery,Govt.,List of Vegetables ;Fruits and Grocery and Milk Suppliers in Milak,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020032951.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Others,Others,Govt.,Information related to Combined Harvester List for Farmers and People involved in agricultural sectors,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020032962.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Others,Others,Govt.,Information related to Fertilizer Retailer List for Farmers and People involved in agricultural sectors,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020033025.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Rampur,District,Others,Others,Govt.,Information related to Private Fertilizer retailer List for Farmers and People involved in agricultural sectors,,,https://cdn.s3waas.gov.in/s3a8f15eda80c50adb0e71943adc8015cf/uploads/2020/03/2020033064.pdf,,,,,https://rampur.nic.in/about-covid-19/
Uttar Pradesh,Sant Kabir nagar,District,Health View,Medicine Delivery,Govt.,List of medical stores for door to door delivery of drugs,,,https://cdn.s3waas.gov.in/s3cedebb6e872f539bef8c3f919874e9d7/uploads/2020/04/2020040365.pdf,,,,,https://sknagar.nic.in/covid-19/
Uttar Pradesh,Shrawasti,District,Health View,Others,Govt.,Important helpline numbers for health facilities,,,https://cdn.s3waas.gov.in/s338af86134b65d0f10fe33d30dd76442e/uploads/2020/04/2020040183.jpeg,,,,,https://shravasti.nic.in/noval-corona-virus-covid-19/
Uttar Pradesh,Shrawasti,District,Others,Others,Govt.,Important helpline numbers for police,,,https://cdn.s3waas.gov.in/s338af86134b65d0f10fe33d30dd76442e/uploads/2020/04/2020040183.jpeg,,,,,https://shravasti.nic.in/noval-corona-virus-covid-19/
Uttar Pradesh,Siddharthnagar,District,Food View,Food Delivery,Govt.,Important contacts for Food; Grocery; Vegetables/Fruits,,,https://cdn.s3waas.gov.in/s385d8ce590ad8981ca2c8286f79f59954/uploads/2020/03/2020032619.pdf,,,,,https://siddharthnagar.nic.in/covid19/
Uttar Pradesh,Sonbhadra,District,Health View,District Helpline,Govt.,Important contacts of government control roon officers for medical services,,,https://cdn.s3waas.gov.in/s3db8e1af0cb3aca1ae2d0018624204529/uploads/2020/03/2020032666.pdf,,,,,https://sonbhadra.nic.in/coronacovid-19/
Uttar Pradesh,Sonbhadra,District,Food View,Food Delivery,Govt.,Important contacts for Food; Grocery; Vegetables/Fruits etc,,,https://cdn.s3waas.gov.in/s3db8e1af0cb3aca1ae2d0018624204529/uploads/2020/03/2020032617.pdf,,,,,https://sonbhadra.nic.in/coronacovid-19/
Uttar Pradesh,Baghpat,District,Health View,Medicine Delivery,Govt.,Contact of Medical Stores for Home to Home Delivery and Rates of Essential Items,,,https://cdn.s3waas.gov.in/s3f7e6c85504ce6e82442c770f7c8606f0/uploads/2020/04/2020040151.pdf,,,,,https://bagpat.nic.in/covid-19/
Jharkhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,MGM Medical College; Jamshedpur;,,https://www.icmr.gov.in/,,,,,
Jharkhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Rajendra Institute of Medical Sciences; Ranchi,,https://www.icmr.gov.in/,,,,,
Jharkhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Patliputra Medical College and Hospital; Dhanbad,,https://www.icmr.gov.in/,,,,,
Jharkhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Government Laboratory,Itki Aarogyashala; Ranchi,,https://www.icmr.gov.in/,,,,,
Jharkhand,ALL,State,Health View,Covid-19 Testing Centres,Govt.,Private Laboratory,Tata Main Hospital (Dept of Pathology); Tata Steel; Bistupur; Jamshedpur,,https://www.icmr.gov.in/,,,,,
Jharkhand,ALL,State,E-pass View,,Govt.,,,,http://164.100.59.117/public/pan_reg.php,,,,,
Jharkhand,ALL,State,Others,,Govt.,Sahayata Mobile App,To provide financial assistance to the Jharkhand natives stuck outside the state.,,https://covid19help.jharkhand.gov.in/,For Jharkhand native stuck in other states,Aadhar card copy; a working bank account in Jharkhand,,,https://play.google.com/store/apps/details?id=in.nic.jhk.mukhyamantrisahayata
Jharkhand,ALL,State,Others,,Govt.,Home Quarantine app,,,https://covid19.jharkhand.gov.in/covid19_mis/,,,,,
Jharkhand,ALL,State,Others,,Govt.,Bazar Mobile App,For easing the purchase of grocery; medicines and other essential items,,https://play.google.com/store/apps/details?id=com.encoders.saharashop,,,,,https://www.jharkhand.gov.in/Home/Covid19Dashboard
Jharkhand,ALL,State,Others,,Govt.,Gyanodaya Jharkhand,Youtube link for online lectures for the students of class 6-12 duringCOVID-19,,https://www.youtube.com/channel/UCZuZZNPHkuwMcbzGuoIQkAA/videos?view=0&sort=dd&flow=grid,,,,,
Jharkhand,Bokaro,District,Food view,Hunger Helplines,Govt.,Mukhyamantri Daal Bhaat Kendra (free food),Contact details,,https://cdn.s3waas.gov.in/s3a760880003e7ddedfef56acb3b09697f/uploads/2020/04/2020041399.pdf,,,,,https://bokaro.nic.in/notice/mukhyamantri-dal-bhat-kendra/
Jharkhand,Bokaro,District,E pass,,Govt.,Application for Epass,,,https://cdn.s3waas.gov.in/s3a760880003e7ddedfef56acb3b09697f/uploads/2020/04/2020042357.pdf,,,,,https://bokaro.nic.in/
Jharkhand,Chatra,District,Food view,Food Delivery,Govt.,Contact details for delivery of grocery,,,https://cdn.s3waas.gov.in/s3ff4d5fbbafdf976cfdc032e3bde78de5/uploads/2020/03/2020032855.pdf,,,,,https://chatra.nic.in/
Jharkhand,Deoghar,District,Food view,Hunger Helplines,Govt.,Mukhyamantri Daal Bhaat Kendra (free food),,,http://deogharfightscorona.in/big/16.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Food view,Others,Govt.,FREE FOOD:Mukhyamantri Daal Bhaat Kendra (locations),,,http://deogharfightscorona.in/big/15.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Food view,Food Delivery,Govt.,Contact details for food delivery,,,http://deogharfightscorona.in/big/3.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Food view,Ration,Govt.,Details for distrbution of ration,,,http://deogharfightscorona.in/images/a75.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Food view,Food Delivery,Govt.,Contact details for GREEN GROCERY delivery,,,http://deogharfightscorona.in/big/2.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Food view,Food Delivery,Govt.,Contact details for food delivery from BIG BAZAR,,,http://deogharfightscorona.in/big/1.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Health view,Tele-consultation,Govt.,Contact information of doctors,,,http://deogharfightscorona.in/big/29.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Health view,Others,Govt.,Home delivery of baby products ,,,http://deogharfightscorona.in/big/19.jpeg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Health view,Others,Govt.,Avaliabile santiziers at Rs 40,,,http://deogharfightscorona.in/big/21.jpeg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,Health view,Others,Govt.,Request for volunteer doctor to fight against COVID 19,,,http://deogharfightscorona.in/big/5.jpg,,,,,http://deogharfightscorona.in/news.php
Jharkhand,Deoghar,District,E-pass View,,Govt.,Travel pass form available,,,http://deogharfightscorona.in/webdocs/FORM%20FOR%20TRAVEL%20PASS+.pdf,,,,,http://deogharfightscorona.in/news.php
Jharkhand,East-Singhbhum,District,Food view,Food Delivery,Govt.,Contact details for delivery of grocery,,,https://cdn.s3waas.gov.in/s33dc4876f3f08201c7c76cb71fa1da439/uploads/2020/03/2020032870.pdf ,,,,,https://jamshedpur.nic.in/
Jharkhand,East-Singhbhum,District,Health view,Medicine Delivery,Govt.,Important details for delivery of medicines,,,https://cdn.s3waas.gov.in/s33dc4876f3f08201c7c76cb71fa1da439/uploads/2020/03/2020032853.pdf,,,,,https://jamshedpur.nic.in/
Jharkhand,East-Singhbhum,District,Others,,Govt.,Contact number for delivery of LPG,,,https://cdn.s3waas.gov.in/s33dc4876f3f08201c7c76cb71fa1da439/uploads/2020/03/2020032865.pdf,,,,,https://jamshedpur.nic.in/
Jharkhand,East-Singhbhum,District,E pass,,Govt.,Link for Epass,,,http://164.100.59.117/,,,,,https://jamshedpur.nic.in/
Jharkhand,Giridh,District,Health view,Others,Govt.,Covid 19 health related problems ,Helpline number,8864001152,https://cdn.s3waas.gov.in/s39b72e31dac81715466cd580a448cf823/uploads/2020/03/2020033077-658x1024.jpeg ,,,,,https://giridih.nic.in/corona-covid-19/
Jharkhand,Giridh,District,Others,,Govt.,Helpline  numbers for LPG gas and other important numbers,,,https://cdn.s3waas.gov.in/s39b72e31dac81715466cd580a448cf823/uploads/2020/03/2020033077-658x1024.jpeg ,,,,,https://giridih.nic.in/corona-covid-19/
Jharkhand,Godda,District,Health view,Tele-consultation,Govt.,Contact details for Tele consultation,,,https://www.jagran.com/jharkhand/ranchi-hello-doctor-helpline-in-ranchi-hazaribagh-jamshedpur-and-dhanbad-for-coronavirus-20186860.html,,,,,
Jharkhand,Hazaribag,District,Food view,Hunger Helplines,Govt.,Mukhyamantri Didi Kitchen,Contact details,,https://cdn.s3waas.gov.in/s3ed265bc903a5a097f61d3ec064d96d2e/uploads/2020/04/2020040860.pdf,,,,,https://hazaribag.nic.in/document-category/covid-19-notifications/page/3/
Jharkhand,Hazaribag,District,Others,,Govt.,CALL FOR VOLUNTEER,Google sheet to register,,https://bit.ly/covid19-hzb,,,,,https://hazaribag.nic.in/document-category/covid-19-notifications/page/3/
Jharkhand,Jamtara,District,Food view,Hunger Helplines,Govt.,List of Dal Bhaat Kendra running in district,Contact details,,https://cdn.s3waas.gov.in/s313f320e7b5ead1024ac95c3b208610db/uploads/2020/04/2020040312.pdf,,,,,https://jamtara.nic.in/
Jharkhand,Jamtara,District,Food view,Others,Govt.,Rate list of essential goods during lockdown,,,https://cdn.s3waas.gov.in/s313f320e7b5ead1024ac95c3b208610db/uploads/2020/03/2020032745.pdf,,,,,https://jamtara.nic.in/
Jharkhand,Jamtara,District,Food view,Food Delivery,Govt., Contact details for home delivery of essential goods,,,https://cdn.s3waas.gov.in/s313f320e7b5ead1024ac95c3b208610db/uploads/2020/03/2020032765.pdf,,,,,https://jamtara.nic.in/
Jharkhand,Khunti,District,Others,,Govt.,Contact details for Labourers facing problems during lockdown; contact details for senior citizens help etc.,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040796.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Khunti,District,Food view,Hunger Helplines,Govt.,Khichdi vitran kendra,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040780.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Khunti,District,Food view,Food Delivery,Govt.,List of grocery retailers,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040735.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Khunti,District,Food view,Others,Govt.,Vegetable prescribed rate,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040743.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Khunti,District,Food view,Food delivery,Govt.,Contact information for milk delivery vendors,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040786.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Khunti,District,Food view,Food delivery,Govt.,Contact information for door to door delivery of vegetables delivery,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040740.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Khunti,District,Health view,Medicine Delivery,Govt.,Contact details for delivery of medicines,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040765.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Khunti,District,Others,,Govt.,Contact details for Gas delivery vendors,,,https://cdn.s3waas.gov.in/s301f78be6f7cad02658508fe4616098a9/uploads/2020/04/2020040746.pdf,,,,,https://khunti.nic.in/covid-19/
Jharkhand,Palamau,District,Food view,Food delivery,Govt.,Contact details for home delivery,Urban area only,,https://palamu.nic.in/home-Delivery-services-urban-area/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Food view,Food delivery,Govt.,Home delivery of milk,in Daltonganj area,,https://palamu.nic.in/home-delivery-of-milk/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Food view,Food delivery,Govt.,Contact details for milk delivery,,,https://palamu.nic.in/home-delivery-of-milk-block-level/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Food view,Ration,Govt.,Free ration delivery for helpless people,,,https://palamu.nic.in/free-ration-delivery-for-helpless-people/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Food view,Food delivery,Govt.,Contact information for food delivery,Rural area only,,https://palamu.nic.in/home-delivery-services-rural-area/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Others,,Govt.,Free Gas Cylinder,Under Ujjwala Scheme,,https://palamu.nic.in/free-gas-cylinder-under-ujjwala-scheme/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Others,,Govt.,Installation of SAHAARA#Palamau,A mobile application,,https://palamu.nic.in/installation-process-of-sahaara-palamu-app/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Others,,Govt.,Contact details for home delivery of LPG gas,,,https://palamu.nic.in/home-delivery-of-lpg-gas-cylinder/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Others,,Govt.,Delivery of sanitizer and mask,For Daltonganj area,,https://palamu.nic.in/sanitizer-and-mask-for-daltonganj-only/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,E-pass View,,Govt.,Online application for epass ,,,https://palamu.nic.in/online-application-process-for-epass/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Palamau,District,Health view,Others,Govt.,Contact details for ambulance and health care center,,,https://palamu.nic.in/helpline-number-of-health-centre-and-ambulance/,,,,,https://palamu.nic.in/category/news/
Jharkhand,Ramgarh,District,Food view,Others,Govt.,Notification for providing food to needy,,,https://cdn.s3waas.gov.in/s3e165421110ba03099a1c0393373c5b43/uploads/2020/04/2020041636.pdf,,,,,https://ramgarh.nic.in/document-category/covid-19/page/4/
Jharkhand,Sahibganj,District,Food view,Food Delivery,Govt.,Contact Details for grocery details,,,https://cdn.s3waas.gov.in/s369421f032498c97020180038fddb8e24/uploads/2020/04/2020040566.pdf,,,,,https://sahibganj.nic.in/covid19/
Jharkhand,Sahibganj,District,Food view,Food Delivery,Govt.,Contact Details for grocery details,,,https://cdn.s3waas.gov.in/s369421f032498c97020180038fddb8e24/uploads/2020/04/2020040579.pdf,,,,,https://sahibganj.nic.in/covid19/
Jharkhand,Sahibganj,District,Others,,Govt.,Contact Details for LPG delivery,,,https://cdn.s3waas.gov.in/s369421f032498c97020180038fddb8e24/uploads/2020/04/2020040566.pdf,,,,,https://sahibganj.nic.in/covid19/
Jharkhand,Sahibganj,District,Others,,Govt.,Contact Details for LPG delivery,,,https://cdn.s3waas.gov.in/s369421f032498c97020180038fddb8e24/uploads/2020/04/2020040579.pdf,,,,,https://sahibganj.nic.in/covid19/
Jharkhand,Seraikela-Kharsawan,District,Food view,Food Delivery,Govt.,ESSENTIAL ITEM/RICE/EDIBLE OIL/POTATO/ONION/SHOP ETC.,Contact details,,https://seraikela.nic.in/covid-19/,,,,,
Jharkhand,Simdega,District,Food view,Food Delivery,Govt.,Delivery of vegetables and groceries; drinking water etc.,Contact details,,https://cdn.s3waas.gov.in/s30fcbc61acd0479dc77e3cccc0f5ffca7/uploads/2020/04/2020040174.jpeg,,,,,https://simdega.nic.in/%e0%a4%95%e0%a5%8b%e0%a4%b0%e0%a5%8b%e0%a4%a8%e0%a4%be-2/
Jharkhand,Simdega,District,Food view,Hunger Helplines,Govt.,Dal Bhat Kendra,,,https://cdn.s3waas.gov.in/s30fcbc61acd0479dc77e3cccc0f5ffca7/uploads/2020/04/2020040299-scaled.jpg,,,,,https://simdega.nic.in/%e0%a4%95%e0%a5%8b%e0%a4%b0%e0%a5%8b%e0%a4%a8%e0%a4%be-2/
Kerala,ALL,State,Food View,Hunger Helplines,Govt.,Community kitchens by Kudumbshree in various locations,provide free cooked meals (home Delivery available) for those listed as eligible by the local governing body and lunch packets at Rs.20 for anyone who requires cooked meals; numbers available in the links,,http://kudumbashree.org/pages/826,Persons eligible for free meals: 1. individuals enlisted in the Ashraya scheme; 2. homeless people rehabilitated in relief camps by the local bodies; 3. migrant labourers; 4. bed-ridden patients; 5. poor elderly persons (unable to cook for themselves); 6. persons living in tribal settlements; 7. families of children in BUDS school; 8. persons in care homes; 9  destitutes who did not receive 15 kg rice distribted by the civil supplies cooperation,,,,
Kerala,ALL,State,Food View,Food Delivery,Govt.,Community kitchens in various locations,Community kitchens by Kudumbasree; provide free cooked meals (home Delivery available) for those listed as eligible by the local governing body and lunch packets at Rs.20 for anyone who requires cooked meals; numbers available in the links,,http://kudumbashree.org/pages/826;https://www.covid19india.org/essentials ,Persons eligible for free meals: 1. individuals enlisted in the Ashraya scheme; 2. homeless people rehabilitated in relief camps by the local bodies; 3. migrant labourers; 4. bed-ridden patients; 5. poor elderly persons (unable to cook for themselves); 6. persons living in tribal settlements; 7. families of children in BUDS school; 8. persons in care homes; 9  destitutes who did not receive 15 kg rice distribted by the civil supplies cooperation,,,,
Kerala,ALL,State,Food View,Others,Govt.,Kudumbasree Janakeeya restaurants meals at subsidized rates,Cooked meals at subsidized rates: Meals at 20rs; parcels at 25 rs.  numbers provided in the link.,,http://kudumbashree.org/storage//files/81mjv_community%20kitchen_go_03-04-2020.pdf,,,,This is to control the crowd in community kitchens and so that those who cannot afford to pay could avail the free services there. All others can avail cooked meals at subsidised rates. ),http://kudumbashree.org
Kerala,ALL,State,Food View,Others,Govt.,Free provisions kits,Free food (provisions) kit with 17 items for all,,https://kerala.gov.in/documents/10180/c075a159-f6cf-4776-bb02-24245cda9e95,For all (including those who do not have ration card).,,Kits for AAY holders to be completed within April 9; kits for PHH by april 21; and kits for non priority category by april 30.,SupplyCo in charge of packing and other arrangements.,https://civilsupplieskerala.gov.in/
Kerala,ALL,State,Food View,Others,Govt.,Donate my kit,Online link by civil supplies department; consumers can indicate their willingness to donate their free supply kits (distributed by the govt for free to all) to the more needy.,,http://etso.civilsupplieskerala.gov.in/index.php/c_giveup_sup_kit,,Ration card number required,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,National Institute of Virology; Field Unit; Allapuzzha,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Govt. Medical College; Thiruvanathapuram,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Govt. Medical College; Kozhikode,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Govt. Medical College; Thrissur,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Rajiv Gandhi Center for Biotechnology; Thiruvanathapuram,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Sree Chitra Tirunal Institute of Medical Sciences; Thiruvanathapuram,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,State Public Health Laboratory; Trivandrum,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Inter University; Kottayam,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Malabar Cancer Center; Thalassery,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Central University of Kerala; Periye; Kasaragod,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Govt. Medical College; Ernakulum,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Govt. Medical College; Manjeri,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Govt. Medical College; Kottayam,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Governmnet Laboratory,Govt. Medical College; Kannur,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,DDRC SRL Diagnostics Pvt Ltd; Panampilly Nagar; Ernakulam,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,MIMS Lab Services; Govindapuram; Kozhikode,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,Lab Services of Amrita Institute of Medical Sciences & Research Centre; AIMS-Ponekkara; Kochi,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,Dane Diagnostics Pvt Ltd; 18/757 (1); RC Road; Palakkad,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Covid-19 Testing Centers,Govt.,Private Laboratory,Medivision Scan & Diagnostic Research Centre Pvt Ltd; Sreekandath Road; Kochi,,https://www.icmr.gov.in/,,,,,
Kerala,ALL,State,Health View,Isolation Centers,Govt.,Isolation centres,List of hospitals for isolating and treating patients in each district; contact numbers in the link,,https://dhs.kerala.gov.in/wp-content/uploads/2020/03/83744569_2653648304863977_9161871785963028480_o-1.jpg,,,,,https://dhs.kerala.gov.in
Kerala,ALL,State,Health View,Others,Govt.,De-addiction centres by Vimukthi and HSD,with quarantine facility (10-20 beds for de-addiction); numbers in the link,,http://dhs.kerala.gov.in/wp-content/uploads/2020/04/Scan-26-Mar-2020.pdf,,,,,https://dhs.kerala.gov.in
Kerala,ALL,State,Health View,Others,Govt.,Quarantine/release certificate request,Proforma for applying for quarantine and release certificates and the format of the certifcates,,https://dhs.kerala.gov.in/wp-content/uploads/2020/04/Quarantine-certificate.pdf,,,,,https://dhs.kerala.gov.in
Kerala,ALL,State,E-Pass View,,Govt.,E-Pass,Link for applying for e-pass for emergency travel during lockdown,,https://pass.bsafe.kerala.gov.in/,,,,,
Kerala,ALL,State,Others,,Govt.,GoK Direct - Mobile app,Mobile app by the state govt for providing instant notifications and WHO updates.,,https://play.google.com/store/apps/details?id=com.qkopy.prdkerala&hl=en_IN,Requires Android 4.4 and up,,,Languages like Tamil; English; Kannada; Bengali and Hindi are available. Available on Google Play.,
Kerala,ALL,State,Others,,Govt.,Kerala Health Disease Surveillance - Mobile app,Kerala Health Disease Surveillance - Mobile app for surveillance and awareness,,https://play.google.com/store/apps/details?id=in.gov.kerala.health&hl=en_IN,Requires Android 4.4 and up,,,Dashboard Kerala Govt; Available on GooglePlay,
Kerala,ALL,State,Others,,Govt.,Dashboard on Covid 19,Govt Dashboard providing key data on Covid 19 battle,,https://dashboard.kerala.gov.in/index.php,,,,,
Kerala,ALL,State,Others,,Govt.,Citzens reporting centre,Online reporting centre for Covid 19 ifnormation for citizens in Malayalam,,https://citizencenter.kerala.gov.in/,,,,Citizens with existing medical conditions/with domestic/foreign travel history/ working in areas where there could be exposure can report the same to the authorities. One can do for self or for others.,
Kerala,ALL,State,Others,,Govt.,Chat bot service,Online chat bot service for getting information related to Covid 19; Corona virus; immunity etc.,,http://ccb.icfoss.org/,,,,Online chat service,
Kerala,ALL,State,Others,,Govt.,Kerala Motor Transport Workers Welfare Fund,Providing dedicated covid19 helpline for its members; numbers availabe in the link,,http://kmtwwfb.org/images/pdf/covid.pdf,,,,Welfare initiative from Kerala Motor Transport Workers Fund Board,http://kmtwwfb.org/
Kerala,ALL,State,Others,,Govt.,Chief Minister Pandemic Relief Fund /CMDRF,Online portal through which people can donate to the CM fund,,https://donation.cmdrf.kerala.gov.in/,,,,Payment can be made by CHEQUE/ DEMAND DRAFT drawn in favour of The Principal Secretary (Finance); Treasurer; Chief Ministers Distress Relief Fund; Secretariat; Thiruvananthapuram – 695001,
Kerala,Ernakulam,District,Health View,Others,Govt.,Community health centres,List of Community Health Centres (CHC) with their numbers,,https://cdn.s3waas.gov.in/s3621bf66ddb7c962aa0d22ac97d69b793/uploads/2018/04/2018040352.pdf,,,,,https://ernakulam.nic.in/health/
Kerala,Ernakulam,District,Health View,Others,Govt.,Primary health centres,List of 24*7 Primary Health Centres (PHC) with their numbers,,https://cdn.s3waas.gov.in/s3621bf66ddb7c962aa0d22ac97d69b793/uploads/2018/04/2018040383.pdf,,,,,https://ernakulam.nic.in/health/
Kerala,Ernakulam,District,Health View,Others,Govt.,Corona support desk by district administrtion - counselling; ambulance; medical aid,Online support desk by district administrtion - to raise concerns and support regarding counseling needs; ambulance service; domestic abuse; and medical aid,,https://coronahelpdeskekm.deienami.com/index.php,,,From March 27 - May 31 2020,,
Kerala,Ernakulam,District,Others,,Govt.,Corona support desk by district administrtion - domestic abuse,Online support desk by district administrtion - to raise concerns and support regarding counseling needs; ambulance service; domestic abuse; and medical aid,,https://coronahelpdeskekm.deienami.com/index.php,,,From March 27 - May 31 2020,,
Kerala,Idukki,District,Health View,Tele Consultation,Govt.,Tele health helpline,DIAL A DOCTOR (Toll free Tele Health Helpline) - for BSNL numbers,1056,https://idukki.nic.in/helpline/,,,,,
Kerala,Idukki,District,Health View,Tele Consultation,Govt.,Tele health helpline,DIAL A DOCTOR Tele health helpline - for non-BSNL numbers,0471 2552056,https://idukki.nic.in/helpline/,,,,,
